bet-id,status,event-id,event-name,market-id,market-name,runner-id,runner-name,sport-id,sport-name,odds,stake,profit,time-placed,reports-currentscores
7238,"finished",28832,"JäPS vs FC Vaajakoski",339421,"Handicap (-0.25)",694639,"JaPS (-0.25)",15,"Soccer",108,160.61,173.46,"24/06/2015 13:05",
7196,"finished",28474,"JEF United Ichihara Chiba vs Avispa Fukuoka",338054,"Handicap (-0.75)",691782,"Avispa Fukuoka (+0.75)",15,"Soccer",100,50,50,"11/06/2015 16:22",
7195,"finished",28474,"JEF United Ichihara Chiba vs Avispa Fukuoka",338054,"Handicap (-0.75)",691781,"JEF United Ichihara Chiba (-0.75)",15,"Soccer",-107,50,46.73,"11/06/2015 16:22",
7201,"finished",28474,"JEF United Ichihara Chiba vs Avispa Fukuoka",337911,"Match Result",691484,"Avispa Fukuoka",15,"Soccer",400,50,200,"11/06/2015 16:22",
7200,"finished",28474,"JEF United Ichihara Chiba vs Avispa Fukuoka",337911,"Match Result",691485,"DRAW",15,"Soccer",245,50,122.5,"11/06/2015 16:22",
7199,"finished",28474,"JEF United Ichihara Chiba vs Avispa Fukuoka",337911,"Match Result",691483,"JEF United Ichihara Chiba",15,"Soccer",-145,50,34.48,"11/06/2015 16:22",
7198,"finished",28474,"JEF United Ichihara Chiba vs Avispa Fukuoka",338055,"Total Goals (2.25)",691784,"UNDER (+2.25)",15,"Soccer",-103,50,48.54,"11/06/2015 16:22",
7353,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341928,"Handicap (-0.25)",699779,"Kashiwa Reysol (-0.25)",15,"Soccer",123,179.98,221.37,"19/07/2015 09:58",
7357,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341928,"Handicap (-0.25)",699780,"Kawasaki Frontale (+0.25)",15,"Soccer",-147,99.85,67.92,"19/07/2015 10:46",
7342,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341928,"Handicap (-0.25)",699780,"Kawasaki Frontale (+0.25)",15,"Soccer",-136,130,95.59,"19/07/2015 09:56",
7337,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341954,"Handicap (-0.5)",699831,"Kashiwa Reysol (-0.50)",15,"Soccer",153,100,153,"19/07/2015 09:48",
7339,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341954,"Handicap (-0.5)",699832,"Kawasaki Frontale (+0.50)",15,"Soccer",-175,269.93,154.25,"19/07/2015 09:49",
7343,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341951,"Handicap (0.0)",699825,"Kashiwa Reysol (0.0)",15,"Soccer",-109,110,100.92,"19/07/2015 09:56",
